ORF,Gene,Ch,Mean,sd,Mean,sd,3153A,p.paired,3153A,sd,start,end,strand,
orf19.4633,,4,2101.8 ,0.053 ,2105.4 ,0.053 ,1.0 ,0.409460694,1.0 ,0.053 ,314590,315396,W,
orf19.4632,RPL20B,4,18142.2 ,0.086 ,17957.4 ,0.086 ,1.0 ,0.717699283,0.9 ,0.086 ,316283,315765,C,
orf19.4631,ERG251,4,6063.7 ,0.086 ,6612.1 ,0.086 ,1.1 ,0.617053744,1.0 ,0.086 ,318197,317232,C,
orf19.4630,CPA1,4,640.3 ,0.028 ,1050.0 ,0.028 ,1.6 ,0.245500194,1.0 ,0.028 ,321528,320236,C,
orf19.4629,,4,322.3 ,0.059 ,237.4 ,0.059 ,0.7 ,0.094540241,1.0 ,0.059 ,324742,321845,C,
orf19.4628,,4,298.3 ,0.057 ,279.0 ,0.057 ,0.9 ,0.903630696,1.0 ,0.057 ,329218,327722,C,
orf19.4627,,4,732.8 ,0.049 ,627.4 ,0.049 ,0.9 ,0.69079369,1.0 ,0.049 ,329559,332903,W,
orf19.4626,,4,180.4 ,0.028 ,297.3 ,0.028 ,1.6 ,0.00216719,1.0 ,0.028 ,334137,332956,C,
orf19.4625,TOA2,4,227.0 ,0.078 ,322.4 ,0.078 ,1.4 ,0.494809703,1.0 ,0.078 ,334560,334952,W,
orf19.4624,HRT2,4,1426.1 ,0.053 ,1507.0 ,0.053 ,1.1 ,0.563989076,1.0 ,0.053 ,336398,335040,C,
orf19.4623.3,NHP6A,4,4174.7 ,0.097 ,3926.9 ,0.097 ,0.9 ,0.323000935,0.9 ,0.097 ,337601,337323,C,
orf19.4623,,4,34840.6 ,0.068 ,29129.5 ,0.068 ,0.8 ,0.142116492,1.1 ,0.068 ,340995,340567,C,
orf19.4622,,4,628.9 ,0.090 ,347.2 ,0.090 ,0.6 ,0.660455661,1.0 ,0.090 ,342124,340967,C,
orf19.4621,,4,734.3 ,0.089 ,581.3 ,0.089 ,0.8 ,0.182412398,1.0 ,0.089 ,345094,342977,C,
orf19.4620,,4,94.2 ,0.034 ,137.3 ,0.034 ,1.5 ,0.612819325,1.0 ,0.034 ,345473,345802,W,
orf19.4618,FBA1,4,18467.2 ,0.128 ,29798.2 ,0.128 ,1.6 ,0.022484076,1.0 ,0.128 ,347099,346020,C,
orf19.4617,,4,837.6 ,0.047 ,1192.9 ,0.047 ,1.4 ,0.104380553,1.0 ,0.047 ,348197,348733,W,
orf19.4616,POL30,4,3071.6 ,0.043 ,2968.7 ,0.043 ,1.0 ,0.74699359,1.0 ,0.043 ,349157,349936,W,
orf19.4615,,4,411.9 ,0.049 ,501.0 ,0.049 ,1.2 ,0.29474308,1.0 ,0.049 ,351044,350088,C,
orf19.4614,,4,101.9 ,0.054 ,94.0 ,0.054 ,0.9 ,0.488857152,1.0 ,0.054 ,352173,355670,W,
orf19.4612,,4,250.4 ,0.074 ,374.2 ,0.074 ,1.5 ,0.172676671,1.0 ,0.074 ,356583,357308,W,
orf19.4611,,4,3136.1 ,0.093 ,2868.3 ,0.093 ,0.9 ,0.753308351,1.0 ,0.093 ,358932,357958,C,
orf19.4610,,4,780.1 ,0.096 ,756.4 ,0.096 ,1.0 ,0.862202583,1.0 ,0.096 ,360947,359154,C,
orf19.4609,,4,6392.5 ,0.099 ,7853.6 ,0.099 ,1.2 ,0.195096151,1.0 ,0.099 ,361972,361241,C,
orf19.4608,PDC12,4,427.2 ,0.086 ,508.2 ,0.086 ,1.2 ,0.1805019,1.0 ,0.086 ,364384,362465,C,
orf19.4607,,4,474.2 ,0.082 ,409.4 ,0.082 ,0.9 ,0.285955453,1.0 ,0.082 ,366001,364697,C,
orf19.4606,ERG8,4,324.0 ,0.090 ,563.8 ,0.090 ,1.7 ,0.020659826,1.1 ,0.090 ,367771,366473,C,
orf19.4605,TYR1,4,513.6 ,0.096 ,623.7 ,0.096 ,1.2 ,0.227881014,1.0 ,0.096 ,367992,369311,W,
orf19.4603,ARL1,4,276.9 ,0.043 ,324.7 ,0.043 ,1.2 ,0.030647796,1.0 ,0.043 ,369996,369439,C,
orf19.4602,MDH1-1,4,19236.1 ,0.079 ,15397.1 ,0.079 ,0.8 ,0.271779215,1.0 ,0.079 ,371508,370510,C,
orf19.4601,,4,303.1 ,0.056 ,328.6 ,0.056 ,1.1 ,0.384051117,1.1 ,0.056 ,372364,373881,W,
