"","ORF","Gene","Ch","Mean","sd","Mean.1","sd.1","X3153A","p.paired","X3153A.1","sd.2","start","end","strand","X"
"142","orf19.4633","","4",2101.8,1930.35602896681,2105.4,1911.87188661005,1,0.409460694,1,0.053,314590,315396,"W",NA
"143","orf19.4632","RPL20B","4",18142.2,5546.3813182632,17957.4,7710.51345280979,1,0.717699283,0.9,0.086,316283,315765,"C",NA
"144","orf19.4631","ERG251","4",6063.7,2498.93470529506,6612.1,2932.91978427710,1.1,0.617053744,1,0.086,318197,317232,"C",NA
"145","orf19.4630","CPA1","4",640.3,393.120560791146,1050,675.804793710075,1.6,0.245500194,1,0.028,321528,320236,"C",NA
"146","orf19.4629","","4",322.3,295.813003407990,237.4,264.192228256549,0.7,0.094540241,1,0.059,324742,321845,"C",NA
"147","orf19.4628","","4",298.3,185.583695944455,279,219.622815068191,0.9,0.903630696,1,0.057,329218,327722,"C",NA
"148","orf19.4627","","4",732.8,519.366924045768,627.4,561.324279439947,0.9,0.69079369,1,0.049,329559,332903,"W",NA
"149","orf19.4626","","4",180.4,103.841465258127,297.3,203.154078756677,1.6,0.00216719,1,0.028,334137,332956,"C",NA
"150","orf19.4625","TOA2","4",227,56.9511486737943,322.4,190.850758922721,1.4,0.494809703,1,0.078,334560,334952,"W",NA
"151","orf19.4624","HRT2","4",1426.1,413.40893930659,1507,346.879168668506,1.1,0.563989076,1,0.053,336398,335040,"C",NA
"152","orf19.4623.3","NHP6A","4",4174.7,3123.67890713539,3926.9,3370.03299757178,0.9,0.323000935,0.9,0.097,337601,337323,"C",NA
"153","orf19.4623","","4",34840.6,17789.5808506255,29129.5,12853.4055307887,0.8,0.142116492,1.1,0.068,340995,340567,"C",NA
"154","orf19.4622","","4",628.9,568.539528015601,347.2,219.001610570465,0.6,0.660455661,1,0.09,342124,340967,"C",NA
"155","orf19.4621","","4",734.3,327.559833693801,581.3,282.519846589368,0.8,0.182412398,1,0.089,345094,342977,"C",NA
"156","orf19.4620","","4",94.2,84.1719839505842,137.3,155.389103595036,1.5,0.612819325,1,0.034,345473,345802,"W",NA
"157","orf19.4618","FBA1","4",18467.2,10021.4575798835,29798.2,15609.0979301471,1.6,0.022484076,1,0.128,347099,346020,"C",NA
"158","orf19.4617","","4",837.6,1102.76659750550,1192.9,1441.24887748373,1.4,0.104380553,1,0.047,348197,348733,"W",NA
"159","orf19.4616","POL30","4",3071.6,1301.14357497500,2968.7,1234.85032631594,1,0.74699359,1,0.043,349157,349936,"W",NA
"160","orf19.4615","","4",411.9,218.6968300519,501,245.665633950124,1.2,0.29474308,1,0.049,351044,350088,"C",NA
"161","orf19.4614","","4",101.9,85.1900507248335,94,76.5718724481741,0.9,0.488857152,1,0.054,352173,355670,"W",NA
"162","orf19.4612","","4",250.4,170.802263825054,374.2,301.898798310741,1.5,0.172676671,1,0.074,356583,357308,"W",NA
"163","orf19.4611","","4",3136.1,1507.81250946387,2868.3,992.658825120509,0.9,0.753308351,1,0.093,358932,357958,"C",NA
"164","orf19.4610","","4",780.1,708.865116526919,756.4,669.407513155177,1,0.862202583,1,0.096,360947,359154,"C",NA
"165","orf19.4609","","4",6392.5,2735.50721297749,7853.6,3835.97500803225,1.2,0.195096151,1,0.099,361972,361241,"C",NA
"166","orf19.4608","PDC12","4",427.2,491.925006307634,508.2,522.898134509006,1.2,0.1805019,1,0.086,364384,362465,"C",NA
"167","orf19.4607","","4",474.2,808.758526491408,409.4,644.502093267914,0.9,0.285955453,1,0.082,366001,364697,"C",NA
"168","orf19.4606","ERG8","4",324,295.559356407426,563.8,475.476734327531,1.7,0.020659826,1.1,0.09,367771,366473,"C",NA
"169","orf19.4605","TYR1","4",513.6,426.6206887174,623.7,513.824669821395,1.2,0.227881014,1,0.096,367992,369311,"W",NA
"170","orf19.4603","ARL1","4",276.9,55.9841331939093,324.7,77.0160821956833,1.2,0.030647796,1,0.043,369996,369439,"C",NA
"171","orf19.4602","MDH1-1","4",19236.1,11776.5716249793,15397.1,8175.32846005388,0.8,0.271779215,1,0.079,371508,370510,"C",NA
"172","orf19.4601","","4",303.1,234.439945829906,328.6,239.222570710662,1.1,0.384051117,1.1,0.056,372364,373881,"W",NA
"173","orf19.4600.1","","4",365.2,107.160172113651,501.4,233.503363997623,1.4,0.107158444,1,0.096,374323,374601,"W",NA
"174","orf19.4600","","4",3701.5,1957.30308246795,4552.1,2093.03648110358,1.2,0.158038923,1.1,0.051,375425,374718,"C",NA
"175","orf19.4599","PHO89","4",18056.6,23906.1495379448,19897.9,23660.8614798744,1.1,0.389615144,1.1,0.14,379777,381579,"W",NA
"176","orf19.4597","","4",1919.1,504.156491177444,2314.5,947.885308654111,1.2,0.407930242,1,0.067,382277,383152,"W",NA
"177","orf19.4596","","4",493.7,156.965881012317,600.4,273.912398442925,1.2,0.081864533,1.1,0.056,384532,383204,"C",NA
"178","orf19.4595","","4",309.2,247.228287694667,394.8,323.300069587671,1.3,0.166022439,1,0.049,385399,386712,"W",NA
"179","orf19.4594","","4",1919.8,1001.81377076686,2031.3,1100.89266933007,1.1,0.723242822,1,0.043,387462,386785,"C",NA
"180","orf19.4593.1","","4",1624.3,487.303782243459,1530.4,428.768750375806,0.9,0.798673224,1,0.081,387911,388147,"W",NA
"181","orf19.4593","RGA2","4",72.3,62.7850564438417,156.3,103.236580050069,2.2,0.229634951,1.1,0.105,391839,388309,"C",NA
"182","orf19.4592","HSX11","4",238.6,208.295341367506,197.8,212.71382890036,0.8,0.186391268,1.1,0.086,396564,394930,"C",NA
"183","orf19.4591","CAT2","4",3148.3,1908.84575660091,2520.4,1761.68915862331,0.8,0.157139197,1,0.07,398208,400106,"W",NA
"184","orf19.4590","RFX2","4",6.6,14.3370713910149,11,18.6225766255968,NA,0.298566773,1,0.063,405150,408485,"W",NA
"185","orf19.4589","","4",255.2,241.372255198481,342.2,258.678614217784,1.3,0.991398865,1,0.058,409049,410482,"W",NA
"186","orf19.4587","HGH1","4",1299.9,511.856061655183,1521.1,720.286952580132,1.2,0.255654183,1,0.055,410614,411702,"W",NA
"187","orf19.4585","TFG1","4",1837.7,1381.05003647478,1695.5,1362.26702782564,0.9,0.30592459,1.1,0.063,413643,411817,"C",NA
